PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthCap,MthRet,ShrOut,MthPrc_Abs,DateKey,Mkt-RF,SMB,HML,RMW,CMA,RF,ExcessRet,y_next,ret_lag1,ret_lag2,ret_lag3,history_len,log_size,predicted_return,rank
10028,29402E10,ELA,7978,2022-10-31,5.25,141356.25,0.037549,26925,5.25,202210,0.0786,0.0181,0.0797,0.0327,0.0643,0.0023,0.035249,-0.018138,-0.30211295,0.089829,-0.068121,52,11.85903857862812,-0.011573375746955095,2.0
10032,72913210,PLXS,7980,2022-10-31,98.4,2723613.6,0.123801,27679,98.4,202210,0.0786,0.0181,0.0797,0.0327,0.0643,0.0023,0.121501,0.117222,-0.067727,-0.004242,0.196015,330,14.817470085969582,-0.011573375746955095,3.0
10044,77467X10,RMCF,7992,2022-10-31,6.62,41302.18,0.101498,6239,6.62,202210,0.0786,0.0181,0.0797,0.0327,0.0643,0.0023,0.099198,-0.085226,-0.099498,-0.016693,-0.0196679999999999,295,10.628670562059703,-0.011573375746955095,4.0
10065,00621210,ADX,20023,2022-10-31,15.65,1844696.8,0.074125,117872,15.65,202210,0.0786,0.0181,0.0797,0.0327,0.0643,0.0023,0.071825,0.05057,-0.095242,-0.033352,0.083946,330,14.427825485908755,-0.011573375746955095,5.0
10104,68389X10,ORCL,8045,2022-10-31,78.07,210449629.71,0.284924,2695653,78.07,202210,0.0786,0.0181,0.0797,0.0327,0.0643,0.0023,0.282624,0.060633,-0.178299,-0.049305,0.11825,330,19.16475689366398,-0.011573375746955095,6.0
10026,46603210,JJSF,7976,2022-11-30,164.02,3152628.42,0.111171,19221,164.02,202211,0.0469,-0.0275,0.0148,0.063,0.0315,0.0029,0.108271,-0.086336,0.13781,-0.128759,0.097871,331,14.963747081915397,0.027619761825748653,1.0
10028,29402E10,ELA,7978,2022-11-30,5.17,139202.25,-0.015238,26925,5.17,202211,0.0469,-0.0275,0.0148,0.063,0.0315,0.0029,-0.018138,0.0141079999999999,0.035249,-0.30211295,0.089829,53,11.843683190544928,0.027619761825748653,2.0
10032,72913210,PLXS,7980,2022-11-30,110.22,3045047.94,0.120122,27627,110.22,202211,0.0469,-0.0275,0.0148,0.063,0.0315,0.0029,0.117222,-0.06944,0.121501,-0.067727,-0.004242,331,14.929027202844566,0.027619761825748653,3.0
10044,77467X10,RMCF,7992,2022-11-30,6.075,37901.93,-0.082326,6239,6.075,202211,0.0469,-0.0275,0.0148,0.063,0.0315,0.0029,-0.085226,-0.065028,0.099198,-0.099498,-0.016693,296,10.54275731325681,0.027619761825748653,4.0
10065,00621210,ADX,20023,2022-11-30,15.54,1831730.88,0.05347,117872,15.54,202211,0.0469,-0.0275,0.0148,0.063,0.0315,0.0029,0.05057,-0.06765,0.071825,-0.095242,-0.033352,331,14.420771913862096,0.027619761825748653,5.0
10104,68389X10,ORCL,8045,2022-11-30,83.03,223862662.98,0.063533,2696166,83.03,202211,0.0469,-0.0275,0.0148,0.063,0.0315,0.0029,0.060633,-0.018837,0.282624,-0.178299,-0.049305,331,19.22654331009305,0.027619761825748653,6.0
10026,46603210,JJSF,7976,2022-12-30,149.71,2878773.59,-0.083036,19229,149.71,202212,-0.0638,-0.0019,0.0134,0.0032,0.0428,0.0033,-0.086336,-0.0463159999999999,0.108271,0.13781,-0.128759,332,14.872874924612333,0.019269671252999762,1.0
10028,29402E10,ELA,7978,2022-12-30,5.26,141625.5,0.017408,26925,5.26,202212,-0.0638,-0.0019,0.0134,0.0032,0.0428,0.0033,0.0141079999999999,0.266424,-0.018138,0.035249,-0.30211295,54,11.860941528774209,0.019269671252999762,2.0
10032,72913210,PLXS,7980,2022-12-30,102.93,2851366.86,-0.06614,27702,102.93,202212,-0.0638,-0.0019,0.0134,0.0032,0.0428,0.0033,-0.06944,-0.070924,0.117222,0.121501,-0.067727,332,14.863309037273511,0.019269671252999762,3.0
